id	name	reaction_using_names	reaction_using_ids	Reversibility	enzyme(s)	orfs	nrc-1_genes	type	references
R02058	Acetyl-CoA:D-glucosamine-6-phosphate N-acetyltransferase	Acetyl-CoA + D-Glucosamine 6-phosphate => CoA + N-Acetyl-D-glucosamine 6-phosphate	C00024 + C00352 => C00010 + C00357	0	2.3.1.4			Reaction	
R90016	ABC-T L-Glutamate	L-Glutamate (E) + ATP + H2O => L-Glutamate + ADP + Orthophosphate + H+	CE00025 + C00002 + C00001 => C00025 + C00008 + C00009 + C00080	0				Membrane Transport	
R02413	Shikimate:NADP+ 5-oxidoreductase	Shikimate + NADP+ <=> 3-Dehydroshikimate + NADPH + H+	C00493 + C00006 <=> C02637 + C00005 + C00080	1	1.1.1.25	OE1565F	VNG0382G	Reaction	PMID:3700337
R90059	ABC-T: (Cobalt)	Cobalt (E) + ATP + H2O => Cobalt + ADP + Orthophosphate + H+	CE00175 + C00002 + C00001 => C00175 + C00008 + C00009 + C00080	0		OE3315R OE3317R OE3318R OE3319R OE4256F	VNG1631G VNG1632G VNG1634G VNG1635G VNG2317G	Membrane Transport	
R01279	Palmitoyl-CoA:oxygen 2-oxidoreductase	Palmitoyl-CoA + FAD => trans-Hexadec-2-enoyl-CoA + FADH2	C00154 + C00016 => C05272 + C01352	0	1.3.3.6 1.3.99.3 1.3.99.13	OE2710F OE1555F OE2013R OE2138F OE3123R OE4500R	VNG1191G VNG0371G VNG0679G VNG0775G VNG1482G VNG2499G	Reaction	
R90032	Symport: (L-Tyrosine:H+)	L-Tyrosine (E) + H+ (pmf associated) <=> L-Tyrosine + H+	CE00082 + C90000 <=> C00082 + C00080	1		OE2779F	VNG1240G	Membrane Transport	PMID:889797
R00943	Formate:tetrahydrofolate ligase (ADP-forming)	Tetrahydrofolate + Formate + ATP => ADP + Orthophosphate + 10-Formyltetrahydrofolate	C00101 + C00058 + C00002 => C00008 + C00009 + C00234	0	3.5.4.9 6.3.4.3	OE3038F	VNG1416G	Reaction	
R00130	ATP:dephospho-CoA 3'-phosphotransferase	ATP + Dephospho-CoA => ADP + CoA	C00002 + C00882 => C00008 + C00010	0	2.7.1.24	OE4442F	VNG2452C	Reaction	
R04224	(S)-3-Hydroxyisobutyryl-CoA hydro-lyase	2-Methylprop-2-enoyl-CoA + H2O <=> (S)-3-Hydroxyisobutyryl-CoA	C03460 + C00001 <=> C06000	1	4.2.1.17	OE3846R	VNG2032G	Reaction	
R00926	Propinol adenylate:CoA ligase (AMP-forming)	Propinol adenylate + CoA <=> AMP + Propanoyl-CoA	C05983 + C00010 <=> C00020 + C00100	1	6.2.1.1	OE2450F OE1726F	VNG0997G VNG0484G	Reaction	
R00138	Triphosphate phosphohydrolase	Triphosphate + H2O => Pyrophosphate + Orthophosphate	C00536 + C00001 => C00013 + C00009	0	3.6.1.25			Reaction	
R90120	ABC-T: (Manganese)	Manganese (E) + ATP + H2O => Manganese + ADP + Orthophosphate + H+	CE00034 + C00002 + C00001 => C00034 + C00008 + C00009 + C00080	0		OE5146R OE5147R	VNG6264G VNG6265G	Membrane Transport	
R01876	Uridine:orthophosphate ribosyltransferase	Uridine + Orthophosphate <=> Uracil + alpha-D-Ribose 1-phosphate	C00299 + C00009 <=> C00106 + C00442	1	2.4.2.3	OE2311R OE3603R	VNG0893G VNG1850G	Reaction	
R00243	L-Glutamate:NAD+ oxidoreductase (deaminating)	L-Glutamate + NAD+ + H2O <=> 2-Oxoglutarate + NH3 + NADH + H+	C00025 + C00003 + C00001 <=> C00026 + C00014 + C00004 + C00080	1	1.4.1.2 1.4.1.3	OE1270F OE2728R	VNG0161G VNG1204G	Reaction	PMID:2917175 PMID:3700337 PMID:8157586 PMID:8605224 PMID:9827332 PMID:10076069 PMID:12052548
R04739	(S)-3-Hydroxytetradecanoyl-CoA:NAD+ oxidoreductase	(S)-3-Hydroxytetradecanoyl-CoA + NAD+ <=> 3-Oxotetradecanoyl-CoA + NADH	C05260 + C00003 <=> C05261 + C00004	1	1.1.1.35	OE2015R	VNG0681G	Reaction	
R01976	(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase	Acetoacetyl-CoA + NADPH <=> (S)-3-Hydroxybutanoyl-CoA + NADP+	C00332 + C00005 <=> C01144 + C00006	1	1.1.1.157	OE2015R OE2871F	VNG0681G VNG1313G	Reaction	
R01175	Butanoyl-CoA:oxygen 2-oxidoreductase	Butanoyl-CoA + FAD => FADH2 + Crotonoyl-CoA	C00136 + C00016 => C01352 + C00877	0	1.3.3.6 1.3.99.2 1.3.99.3	OE2013R OE2710F OE1555F OE2138F OE3123R OE4500R	VNG0679G VNG1191G VNG0371G VNG0775G VNG1482G VNG2499G	Reaction	
R01290	L-Serine hydro-lyase (adding homocysteine)	L-Serine + L-Homocysteine => L-Cystathionine + H2O	C00065 + C00155 => C02291 + C00001	0	4.2.1.22	OE1916F OE2860R	VNG0606G VNG1301G	Reaction	
R04225	3-Methyl-2-oxopentanoate:lipoamide oxidoreductase(decarboxylating and acceptor-2-methylpropanoylating)	3-Methyl-2-oxopentanoate + Lipoamide => S-(2-Methylbutanoyl)-dihydrolipoamide + CO2	C03465 + C00248 => C05118 + C00011	0	1.2.4.4	OE4114F OE3712R OE4113F	VNG2218G VNG1926G VNG2217G	Reaction	
R00848	sn-Glycerol-3-phosphate:(acceptor) 2-oxidoreductase	sn-Glycerol 3-phosphate + FAD => Glycerone phosphate + FADH2	C00093 + C00016 => C00111 + C01352	0	1.1.99.5	OE2553R OE3763F OE3764F OE3765F	VNG1070G VNG1969G VNG1971G VNG1972G	Reaction	PMID:3700337
R03018	ATP:pantothenate 4'-phosphotransferase	ATP + Pantothenate => ADP + D-4'-Phosphopantothenate	C00002 + C00864 => C00008 + C03492	0	2.7.1.33			Reaction	
R02065	Geranylgeranyl-diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase	Geranylgeranyl diphosphate => Pyrophosphate + Prephytoene diphosphate + H+	C00353 => C00013 + C03427 + C00080	0	2.5.1.32	OE3093R OE3376F	VNG1458G VNG1680G	Reaction	PMID:2857171
R03509	N-(5-Phospho-beta-D-ribosyl)anthranilate ketol-isomerase	N-(5-Phospho-D-ribosyl)anthranilate <=> 1-(2-Carboxyphenylamino)-1'-deoxy-D-ribulose 5'-phosphate	C04302 <=> C01302	1	5.3.1.24	OE3333R	VNG1648G	Reaction	
R01398	Carbamoyl-phosphate:L-ornithine carbamoyltransferase	Carbamoyl phosphate + L-Ornithine <=> Orthophosphate + L-Citrulline	C00169 + C00077 <=> C00009 + C00327	1	2.1.3.3	OE5205R	VNG6315G	Reaction	PMID:7868583 PMID:8759859
R90024	ABC-T L-Serine	L-Serine (E) + ATP + H2O => L-Serine + ADP + Orthophosphate + H+	CE00065 + C00002 + C00001 => C00065 + C00008 + C00009 + C00080	0				Membrane Transport	
R05595		Crotonoyl-CoA + H2O <=> 3-Hydroxybutanoyl-CoA	C00877 + C00001 <=> C05116	1	4.2.1.17	OE3846R	VNG2032G	Reaction	
R01196		Oxidized ferredoxin + Pyruvate + CoA => Reduced ferredoxin + Acetyl-CoA + CO2	C00139 + C00022 + C00010 => C00138 + C00024 + C00011	0	1.2.7.1	OE2622R OE2623R	VNG1125G VNG1128G	Reaction	PMID:6266826 PMID:6266827 PMID:8157586 PMID:9827332
R90082	Symport: (Cytidine:H+)	Cytidine (E) + H+ (pmf associated) => Cytidine + H+	CE00475 + C90000 => C00475 + C00080	0				Membrane Transport	
R03035	ATP:pantetheine-4'-phosphate adenylyltransferase	ATP + Pantetheine 4'-phosphate => Pyrophosphate + Dephospho-CoA	C00002 + C01134 => C00013 + C00882	0	2.7.7.3	OE2992R	VNG1390a	Reaction	
R01940		2-Oxoadipate + Lipoamide => S-Glutaryldihydrolipoamide + CO2	C00322 + C00248 => C06157 + C00011	0	1.2.4.2			Reaction	PMID:3700337
R00362	Citrate oxaloacetate-lyase ((pro-3S)-CH2COO- -->acetate)	Citrate <=> Acetate + Oxaloacetate	C00158 <=> C00033 + C00036	1	4.1.3.6	OE1942F	VNG0627G	Reaction	
R01220	"5,10-Methylenetetrahydrofolate:NADP+ oxidoreductase"	"5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH"	C00143 + C00006 <=> C00445 + C00005	1	1.5.1.5	OE3038F	VNG1416G	Reaction	
R90077	Symport: (Lactate:H+)	(S)-Lactate (E) + H+ (pmf associated) => (S)-Lactate + H+	CE00186 + C90000 => C00186 + C00080	0		OE6063F	VNG6383G	Membrane Transport	
R03905	Glu-tRNA(Gln):L-glutamine amido-ligase(ADP-forming)	Glutaminyl-tRNA + L-Glutamate + Orthophosphate + ADP <=> L-Glutamyl-tRNA(Gln) + L-Glutamine + ATP	C02282 + C00025 + C00009 + C00008 <=> C06112 + C00064 + C00002	1	6.3.5.7	OE3591F	VNG1844G	Reaction	
R04746	(S)-Hydroxyoctanoyl-CoA hydro-lyase	(S)-Hydroxyoctanoyl-CoA <=> trans-Oct-2-enoyl-CoA + H2O	C05266 <=> C05276 + C00001	1	4.2.1.17	OE3846R	VNG2032G	Reaction	
R03217	O-Acetyl-L-homoserine succinate-lyase (adding cysteine)	O-Acetyl-L-homoserine + L-Cysteine <=> L-Cystathionine + Acetate	C01077 + C00097 <=> C02291 + C00033	1	2.5.1.49	OE4398F	VNG2421G	Reaction	
R00127	ATP:AMP phosphotransferase	ATP + AMP <=> ADP	C00002 + C00020 <=> C00008	1	2.7.4.3	OE3425F	VNG1724G	Reaction	
R04125	S-Aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransfe rase (ammonia-forming)	"Tetrahydrofolate + S-Aminomethyldihydrolipoylprotein <=> 5,10-Methylenetetrahydrofolate + NH3 + Dihydrolipoylprotein"	C00101 + C01242 <=> C00143 + C00014 + C02972	1	2.1.2.10	OE3278R	VNG1606G	Reaction	
R01058	D-Glyceraldehyde 3-phosphate:NADP+ oxidoreductase	D-Glyceraldehyde 3-phosphate + NADP+ + H2O => 3-Phospho-D-glycerate + NADPH	C00118 + C00006 + C00001 => C00197 + C00005	0	1.2.1.9	OE2133R OE2190R OE2367F OE4529F	VNG0771G VNG0808G VNG0937G VNG2513G	Reaction	PMID:2256927 PMID:9827332
R03243	5-Amino-2-oxopentanoate:2-oxoglutarate aminotransferase	3-(Imidazol-4-yl)-2-oxopropyl phosphate + L-Glutamate <=> L-Histidinol phosphate + 2-Oxoglutarate	C01267 + C00025 <=> C01100 + C00026	1	2.6.1.9	OE2507R	VNG1033G	Reaction	PMID:3700337
R02327	dCTP:uridine 5'-phosphotransferase	dCTP + Uridine => dCDP + UMP	C00458 + C00299 => C00705 + C00105	0	2.7.1.48	OE2749F	VNG1219G	Reaction	
R90126	Gal Synth	UDP-D-galactose + H2O => D-Galactose + UDP	C00052 + C00001 => C00124 + C00015	0				Reaction	PMID:10760168
R00571	UTP:ammonia ligase(ADP-forming)	ATP + UTP + NH3 => ADP + Orthophosphate + CTP	C00002 + C00075 + C00014 => C00008 + C00009 + C00063	0	6.3.4.2	OE3572R	VNG1830G	Reaction	
R00622	2-Oxoglutarate carboxy-lyase	2-Oxoglutarate + Thiamin diphosphate => Succinate semialdehyde-thiamin diphosphate anion + CO2	C00026 + C00068 => C05816 + C00011	0	2.5.1.64	OE2563R	VNG1081G	Reaction	
R01968	2'-Deoxyguanosine 5'-monophosphate phosphohydrolase	dGMP + H2O => Deoxyguanosine + Orthophosphate	C00362 + C00001 => C00330 + C00009	0	3.1.3.5	OE3017R	VNG1408G	Reaction	
R05578	L-Glutamate:tRNA(Glu) ligase (AMP-forming)	tRNA(Glu) + L-Glutamate + ATP <=> L-Glutamyl-tRNA(Glu) + Pyrophosphate + AMP	C01641 + C00025 + C00002 <=> C02987 + C00013 + C00020	1	6.1.1.17	OE2652F	VNG1153G	Reaction	
R05180	S-Adenosyl-L-methionine:precorrin-3B C17-methyltransferase	S-Adenosyl-L-methionine + Precorrin 3B => S-Adenosyl-L-homocysteine + Precorrin 4	C00019 + C06406 => C00021 + C06407	0	2.1.1.131	OE3214F OE3216F	VNG1555G VNG1557G	Reaction	
R04620	"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate phosphohydrolase (alkaline optimum)"	"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) + H2O => 2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8- + Orthophosphate"	C04895 + C00001 => C04874 + C00009	0	3.1.3.1	OE5192R	VNG6301G	Reaction	
R02331	ATP:nucleoside-diphosphate phosphatransferase	ATP + dUDP <=> ADP + dUTP	C00002 + C01346 <=> C00008 + C00460	1	2.7.4.6	OE2667F	VNG1160G	Reaction	
R90105	ABC-T: (Copper)	ATP + H2O + Copper (E) => ADP + Orthophosphate + H+ + Copper	C00002 + C00001 + CE00070 => C00008 + C00009 + C00080 + C00070	0		OE2042F	VNG0700G	Membrane Transport	
R01702	4-Methyl-2-oxopentanoate:lipoamide oxidoreductase(decarboxylating and acceptor-2-methylpropanoylating)	4-Methyl-2-oxopentanoate + Lipoamide => S-(3-Methylbutanoyl)-dihydrolipoamide + CO2	C00233 + C00248 => C05119 + C00011	0	1.2.4.4	OE4114F OE4113F OE3712R	VNG2218G VNG2217G VNG1926G	Reaction	
R00896	L-Cysteine:2-oxoglutarate aminotransferase	Mercaptopyruvate + Glutamate <=> L-Cysteine + 2-Oxoglutarate	C00957 + C00302 <=> C00097 + C00026	1	2.6.1.1	OE1755F OE1944R OE2619F	VNG0502G VNG0629G VNG1121G	Reaction	
R05227		"Hydrogenobyrinate a,c diamide + Cobalt + ATP => Cob(II)yrinate a,c diamide + Orthophosphate + ADP"	C06503 + C00175 + C00002 => C06504 + C00009 + C00008	0	6.6.1.2	OE3230F	VNG1566G	Reaction	
R90063	Equilibration: (HCO3-)	HCO3- + H+ <=> H2O + CO2	C00288 + C00080 <=> C00001 + C00011	1				Reaction	
R04741	(S)-3-Hydroxydodecanoyl-CoA:NAD+ oxidoreductase	(S)-3-Hydroxydodecanoyl-CoA + NAD+ <=> 3-Oxododecanoyl-CoA + NADH	C05262 + C00003 <=> C05263 + C00004	1	1.1.1.35	OE2015R	VNG0681G	Reaction	
R00833	(R)-2-Methyl-3-oxopropanoyl-CoA CoA-carbonylmutase	(R)-2-Methyl-3-oxopropanoyl-CoA <=> Succinyl-CoA	C01213 <=> C00091	1	5.4.99.2	OE1721R OE2005F OE1972F	VNG0481G VNG0673G VNG0653G	Reaction	
R00104	ATP:NAD+ 2'-phosphotransferase	ATP + NAD+ => ADP + NADP+	C00002 + C00003 => C00008 + C00006	0	2.7.1.23	OE3671F	VNG1900C	Reaction	
R06977		"L-Glutamate + L-Aspartate 4-semialdehyde <=> 2-Oxoglutarate + L-2,4-Diaminobutanoate"	C00025 + C00441 <=> C00026 + C03283	1	2.6.1.76	OE5094F	VNG6210G	Reaction	
R03663	L-Threonine:tRNA(Thr) ligase (AMP-forming)	ATP + L-Threonine + tRNA(Thr) <=> AMP + Pyrophosphate + L-Threonyl-tRNA(Thr)	C00002 + C00188 + C01651 <=> C00020 + C00013 + C02992	1	6.1.1.3	OE3580R	VNG1835G	Reaction	
R05553	4-amino-4-deoxychorismate pyruvate-lyase	4-amino-4-deoxychorismate <=> 4-Aminobenzoate + Pyruvate	C11355 <=> C00568 + C00022	1	4.1.3.38			Reaction	
R03102		L-2-Aminoadipate 6-semialdehyde + NAD+ + H2O => L-2-Aminoadipate + NADH + H+	C04076 + C00003 + C00001 => C00956 + C00004 + C00080	0	1.2.1.31			Reaction	PMID:3700337
R05807	cobalt chelatase	Sirohydrochlorin + Cobalt => Cobalt-precorrin 2	C05778 + C00175 => C11538	0	4.99.1.3	OE3221F	VNG1561C	Reaction	
R01229	GMP:pyrophosphate phosphoribosyltransferase	Guanine + 5-Phospho-alpha-D-ribose 1-diphosphate => GMP + Pyrophosphate	C00242 + C00119 => C00144 + C00013	0	2.4.2.7	OE1504F	VNG0335G	Reaction	PMID:9457844
R00299	ATP:D-glucose 6-phosphotransferase	ATP + D-Glucose => ADP + D-Glucose 6-phosphate	C00002 + C00031 => C00008 + C00092	0	2.7.1.2 2.7.1.1	OE4691R	VNG2629G	Reaction	PMID:2256927 PMID:3255682 PMID:6642538
R03948	S-Adenosyl-L-methionine:precorrin-4 C20-methyltransferase	S-Adenosyl-L-methionine + Precorrin 2 => S-Adenosyl-L-homocysteine + Precorrin 3A	C00019 + C02463 => C00021 + C05772	0	2.1.1.130	OE3209F	VNG1551G	Reaction	
R01717	Chorismate hydroxymutase	Chorismate <=> Isochorismate	C00251 <=> C00885	1	5.4.4.2	OE2566R	VNG1083G	Reaction	
R00440	Polyribonucleotide:orthophosphate nucleotidyltransferase	CDP => Orthophosphate + CMP	C00112 => C00009 + C00055	0	2.7.7.8	OE1818R	VNG0549G	Reaction	
R00970	ITP:uridine 5'-phosphotransferase	ITP + Uridine => IDP + UMP	C00081 + C00299 => C00104 + C00105	0	2.7.1.48	OE2749F	VNG1219G	Reaction	
R01549	dATP:uridine 5'-phosphotransferase	dATP + Uridine => dADP + UMP	C00131 + C00299 => C00206 + C00105	0	2.7.1.48	OE2749F	VNG1219G	Reaction	
R90035	Symport: (L-Aspartate:H+)	L-Aspartate (E) + H+ (pmf associated) => L-Aspartate + H+	CE00049 + C90000 => C00049 + C00080	0		OE5200R	VNG6308G	Membrane Transport	PMID:35540 PMID:889797
R01168	L-Histidine ammonia-lyase	L-Histidine => Urocanate + NH3	C00135 => C00785 + C00014	0	4.3.1.3	OE2739F	VNG1212G	Reaction	
R03655	L-Histidine:tRNA(His) ligase (AMP-forming)	ATP + L-Histidine + tRNA(His) => AMP + Pyrophosphate + L-Histidyl-tRNA(His)	C00002 + C00135 + C01643 => C00020 + C00013 + C02988	0	6.1.1.21	OE3812R	VNG2005G	Reaction	
R02531	Lactaldehyde:NAD+ 1-oxidoreductase	Methylglyoxal + NADH + H+ <=> Lactaldehyde + NAD+	C00546 + C00004 + C00080 <=> C05999 + C00003	1	1.1.1.21	OE1698R OE2451R OE2486F OE3312R	VNG0467G VNG0998G VNG1018G VNG1628G	Reaction	
R90028	ABC-T L-Valine	L-Valine (E) + ATP + H2O => L-Valine + ADP + Orthophosphate + H+	CE00183 + C00002 + C00001 => C00183 + C00008 + C00009 + C00080	0		OE5268R	-	Membrane Transport	
R04559	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole AMP-lyase	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole <=> Fumarate + 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	C04823 <=> C00122 + C04677	1	4.3.2.2	OE1623F	VNG0415G	Reaction	
R02292	L-Aspartate-4-semialdehyde hydro-lyase (adding pyruvate and cyclizing)	"L-Aspartate 4-semialdehyde + Pyruvate <=> 2,3-Dihydrodipicolinate + H2O"	C00441 + C00022 <=> C03340 + C00001	1	4.2.1.52	OE1665R	VNG0444G	Reaction	
R00610	Sarcosine:oxygen oxidoreductase (demethylating)	Sarcosine + H2O + Oxygen => Glycine + Formaldehyde + H2O2	C00213 + C00001 + C00007 => C00037 + C00067 + C00027	0	1.5.3.1	OE1432F	VNG0281G	Reaction	
R01287	O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)	O-Acetyl-L-homoserine + Hydrogen sulfide => L-Homocysteine + Acetate	C01077 + C00283 => C00155 + C00033	0	2.5.1.49	OE4398F	VNG2421G	Reaction	
R06447	"di-trans,poly-cis-Decaprenyl-diphosphate:isopentenyl-diphosphate undecaprenylcistransferase"	"trans,trans,cis-Geranylgeranyl diphosphate + Isopentenyl diphosphate => di-trans,poly-cis-Undecaprenyl diphosphate + Pyrophosphate"	C11356 + C00129 => C04574 + C00013	0	2.5.1.31 2.5.1.-	OE3503F OE3505R OE2559R OE2650F OE4010F	VNG1779C VNG1781C VNG1075G VNG1150G VNG2153G	Reaction	PMID:2857171
R00156	ATP:nucleoside-diphosphate phosphatransferase	ATP + UDP <=> ADP + UTP	C00002 + C00015 <=> C00008 + C00075	1	2.7.4.6	OE2667F	VNG1160G	Reaction	
R90003	Oxid Phos: Complex V ATP Synthase	ADP + Orthophosphate + H+ (pmf associated) <=> ATP + H2O + H+	C00008 + C00009 + C90000 <=> C00002 + C00001 + C00080	1	3.6.3.14	OE3984R OE3985R OE3986R OE3987R OE3988R OE3989R OE3991R OE3992R OE3978R	VNG2138G VNG2139G VNG2140G VNG2141G VNG2142G VNG2143G VNG2144G VNG2146H VNG2135G	Reaction	PMID:21098
R03459	"2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase"	"2,5-Diamino-6-hydroxy-4-(5'-phosphoribosylamino)-pyrimidine + H2O => 5-Amino-6-(5'-phosphoribosylamino)uracil + NH3"	C01304 + C00001 => C01268 + C00014	0	3.5.4.26			Reaction	
R00369	L-Alanine:glyoxylate aminotransferase	L-Alanine + Glyoxylate => Pyruvate + Glycine	C00041 + C00048 => C00022 + C00037	0	2.6.1.44	OE4391F	VNG2418G	Reaction	PMID:3700337 PMID:8157586
R02236	Dihydrofolate:NADP+ oxidoreductase	Dihydrofolate + NADP+ <=> Folate + NADPH + H+	C00415 + C00006 <=> C00504 + C00005 + C00080	1	1.5.1.3	OE2921R	VNG1344G	Reaction	PMID:15554970
R00291	UDPglucose 4-epimerase	UDPglucose <=> UDP-D-galactose	C00029 <=> C00052	1	5.1.3.2	OE2110R OE1113R	VNG0752G VNG0063G	Reaction	
R90067	ABC-T: (Potassium)	ATP + Potassium (E) + H2O => ADP + Orthophosphate + Potassium + H+	C00002 + CE00238 + C00001 => C00008 + C00009 + C00238 + C00080	0		OE5051A1F OE5052F OE5053F OE5054F	#N/A	Membrane Transport	
R03005	ATP:nicotinamide-nucleotide adenylyltransferase	ATP + Nicotinate D-ribonucleotide => Pyrophosphate + Deamino-NAD+	C00002 + C01185 => C00013 + C00857	0	2.7.7.1 2.7.7.18	OE1462R	VNG0301C	Reaction	
R00438	Polyribonucleotide:orthophosphate nucleotidyltransferase	UDP => Orthophosphate + UMP	C00015 => C00009 + C00105	0	2.7.7.8	OE1818R	VNG0549G	Reaction	
R00703	(S)-Lactate:NAD+ oxidoreductase	(S)-Lactate + NAD+ <=> Pyruvate + NADH + H+	C00186 + C00003 <=> C00022 + C00004 + C00080	1	1.1.1.27	OE4036R OE4021F OE1778R OE2916F	VNG2171G VNG2158G VNG0523G VNG1341G	Reaction	PMID:7736359 PMID:8157586 PMID:9827332
R90010	ABC-T L-Cysteine	L-Cysteine (E) + ATP + H2O => L-Cysteine + Orthophosphate + H+ + ADP	CE00097 + C00002 + C00001 => C00097 + C00009 + C00080 + C00008	0				Membrane Transport	
R02088	2'-Deoxyadenosine 5'-monophosphate phosphohydrolase	dAMP + H2O => Deoxyadenosine + Orthophosphate	C00360 + C00001 => C00559 + C00009	0	3.1.3.5	OE3017R	VNG1408G	Reaction	
R00513	ATP:cytidine 5'-phosphotransferase	ATP + Cytidine => ADP + CMP	C00002 + C00475 => C00008 + C00055	0	2.7.1.48	OE2749F	VNG1219G	Reaction	
R03145	Pyruvate:ferricytochrome-b1 oxidoreductase	Ferricytochrome b1 + Pyruvate + H2O => Ferrocytochrome b1 + Acetate + CO2	C00995 + C00022 + C00001 => C00998 + C00033 + C00011	0	1.2.2.2			Reaction	PMID:8157586
R00751	L-Threonine acetaldehyde-lyase	L-Threonine <=> Glycine + Acetaldehyde	C00188 <=> C00037 + C00084	1	4.1.2.5	OE4436R	VNG2447G	Reaction	
R00004	Pyrophosphate phosphohydrolase	Pyrophosphate + H2O => Orthophosphate	C00013 + C00001 => C00009	0	3.6.1.1	OE1407F	VNG0259G	Reaction	
R00552	L-Arginine iminohydrolase	L-Arginine + H2O => L-Citrulline + NH3	C00062 + C00001 => C00327 + C00014	0	3.5.3.6	OE5208R	VNG6317G	Reaction	PMID:6933439 PMID:7868583 PMID:8759859
R05810	cobalt-precorrin-4 methyltransferase	Cobalt-precorrin 4 + S-Adenosyl-L-methionine => Cobalt-precorrin 5 + S-Adenosyl-L-homocysteine	C11540 + C00019 => C11541 + C00021	0	2.1.1.133	OE3212F	VNG1553G	Reaction	
R90086	Symport: (Deoxycytidine:H+)	Deoxycytidine (E) + H+ (pmf associated) => Deoxycytidine + H+	CE00881 + C90000 => C00881 + C00080	0				Membrane Transport	
R03659	L-Methionine:tRNAMet ligase (AMP-forming)	ATP + L-Methionine + tRNA(Met) <=> AMP + Pyrophosphate + L-Methionyl-tRNA	C00002 + C00073 + C01647 <=> C00020 + C00013 + C02430	1	6.1.1.10	OE1496R	VNG0326G	Reaction	
R00722	ATP:nucleoside-diphosphate phosphatransferase	ATP + IDP <=> ADP + ITP	C00002 + C00104 <=> C00008 + C00081	1	2.7.4.6	OE2667F	VNG1160G	Reaction	
R90101	Antiport: (Na+:H+)	Sodium + H+ (pmf associated) => H+ + Sodium (E) [pmf]	C01330 + C90000 => C00080 + C90004	0		OE3960F OE5204R OE3961R	VNG2123G VNG6313G VNG2124C	Membrane Transport	PMID:35540
R00891	L-Serine hydro-lyase (adding homocysteine)	L-Serine + Sulfide => L-Cysteine + H2O	C00065 + C00297 => C00097 + C00001	0	4.2.1.22	OE1916F OE2860R	VNG0606G VNG1301G	Reaction	
R00517	GTP:cytidine 5'-phosphotransferase	GTP + Cytidine => GDP + CMP	C00044 + C00475 => C00035 + C00055	0	2.7.1.48	OE2749F	VNG1219G	Reaction	
R02020	2'-Deoxyguanosine 5'-triphosphate:oxydized-thioredoxin 2'-oxidoreductase	dGTP + Oxidized thioredoxin + H2O <=> GTP + Thioredoxin	C00286 + C00343 + C00001 <=> C00044 + C00342	1	1.17.4.2	OE3328R OE4345R OE4346R	VNG1644G VNG2383G VNG2384G	Reaction	
R01648	4-Aminobutanoate:2-oxoglutarate aminotransferase	4-Aminobutanoate + 2-Oxoglutarate <=> Succinate semialdehyde + L-Glutamate	C00334 + C00026 <=> C00232 + C00025	1	2.6.1.19	OE5094F	VNG6210G	Reaction	
R90046	Symport: (Glycine:H+)	Glycine (E) + H+ (pmf associated) <=> Glycine + H+	CE00037 + C90000 <=> C00037 + C00080	1		OE2560R	VNG1077G	Membrane Transport	PMID:889797
R90013	ABC-T L-Methioinine	L-Methionine (E) + ATP + H2O => L-Methionine + ADP + Orthophosphate + H+	CE00073 + C00002 + C00001 => C00073 + C00008 + C00009 + C00080	0				Membrane Transport	
R90052	Symport: (Nitrate: H+)	Nitrate (E) + H+ (pmf associated) => Nitrate + H+	CE00244 + C90000 => C00244 + C00080	0				Membrane Transport	
R90114	ABC-T: (Phosphonate)	Phosphonate (E) + ATP + H2O + Orthophosphate => Phosphonate + ADP + H+	CE06701 + C00002 + C00001 + C00009 => C06701 + C00008 + C00080	0		OE3908R OE3907R OE3910R	VNG2085G VNG2084G VNG2086G	Membrane Transport	
R01993	(S)-Dihydroorotate amidohydrolase	(S)-Dihydroorotate + H2O <=> N-Carbamoyl-L-aspartate	C00337 + C00001 <=> C00438	1	3.5.2.3	OE4558R	VNG2533G	Reaction	
R00986	Chorismate pyruvate-lyase (amino-accepting)	Chorismate + L-Glutamine => Anthranilate + Pyruvate + L-Glutamate	C00251 + C00064 => C00108 + C00022 + C00025	0	4.1.3.27	OE1568F OE1570F OE1573A1F OE3331R OE3332R	VNG0384G VNG0386G VNG0386G VNG1646G VNG1647G	Reaction	
R04787		Phytofluene <=> zeta-Carotene	C05414 <=> C05430	1	1.14.99.-	OE3381R OE3468R OE1808F	VNG1684G VNG1755G	Reaction	
